,id,Name,scID,SG_id,SG_name,TM_id,TM_name,query_name
2227,6458238.0,GANZ,6458238.0,625314.0,Ganz - Music,K8vZ9173rS0,Ganz,ganz
2228,62290.0,gregwilson,62290.0,,,K8vZ9172so0,Greg Wilson,gregwilson
2229,14271770.0,HVOB,14271770.0,160090.0,HVOB,K8vZ917p5D0,HVOB,hvob
2230,1915196.0,MOTi,1915196.0,188327.0,Wax Motif,K8vZ9173Uz7,Moti,moti
2231,1334017.0,JULIAN JEWEIL,1334017.0,51153.0,Julian Jeweil,K8vZ917oJZ7,Julian Jeweil,julian jeweil
2232,35810108.0,Paco Osuna,35810108.0,22679.0,Paco Osuna,K8vZ917odF0,Paco Osuna,paco osuna
2233,47790639.0,Art Department Official,47790639.0,296968.0,Art Department,K8vZ9172Yr0,Art Department,art department 
2234,220880201.0,ToDope,220880201.0,,,,,todope
2235,16993.0,MJ Cole,16993.0,28904.0,MJ Cole,,,mj cole
2236,10005807.0,Muzenga Records,10005807.0,,,,,muzenga 
2237,213321.0,LAKIM,213321.0,597096.0,"Snakehips, Lakim",K8vZ9174qff,Lakim,lakim
2238,8418070.0,miikesnow,8418070.0,,,K8vZ917GQt7,Miike Snow,miikesnow
2239,91712864.0,ROY PURDY,91712864.0,,,,,roy purdy
2240,772927.0,Dub Fx,772927.0,22449.0,Dub FX,K8vZ917uUdV,Dub FX,dub fx
2241,46608539.0,Sick Bedroom Records Support,46608539.0,,,,,sick bedroom  support
2242,8048.0,Dennis Ferrer,8048.0,30693.0,Dennis Ferrer,K8vZ917pOa0,Dennis Ferrer,dennis ferrer
2243,1245441.0,HARD hardfest.com,1245441.0,,,,,hard hardfest.com
2244,5031548.0,YOUNG BOMBS,5031548.0,301434.0,Young Bombs,K8vZ9174l8f,Young Bombs,young bombs
2245,11862377.0,goSuperego,11862377.0,,,,,gosuperego
2246,88794716.0,The Brilliant Idiots,88794716.0,516325.0,The Brilliant Idiots,,,the brilliant idiots
2247,198488718.0,S*X 4 BREAKFAST,198488718.0,,,,,s*x 4 breakfast
2248,440871.0,Shogun Audio,440871.0,304177.0,Shogun Audio,K8vZ9173sV0,Shogun Audio,shogun audio
2249,11636808.0,MrRevillz,11636808.0,,,,,mrrevillz
2250,1391687.0,Dodge & Fuski,1391687.0,16867.0,Dodge & Fuski,K8vZ9172YSf,Dodge & Fuski,dodge & fuski
2251,42109.0,Keinemusik,42109.0,360448.0,hosted by Keinemusik,,,keinemusik
2252,32206.0,Kaiserdisco (OFFICIAL),32206.0,32058.0,Kaiserdisco,K8vZ917oPsf,Kaiserdisco,kaiserdisco ()
2253,1227011.0,FTampa,1227011.0,19081.0,FTampa,,,ftampa
2254,37810923.0,You Made It Weird,37810923.0,,,Z7r9jZa6ZH,You Made It Weird Live,you made it weird
2255,5523560.0,NewWorldSound,5523560.0,,,K8vZ917K7-7,New World Sound,newworldsound
2256,7238955.0,CRNKN,7238955.0,70039.0,CRNKN,K8vZ9178Wa7,CRNKN,crnkn
2257,31387.0,Joey Negro,31387.0,29196.0,Joey Negro,K8vZ917GOe7,DJ Joey Negro,joey negro
2258,14567.0,Move D,14567.0,52295.0,Move D,K8vZ91782Tf,Move D,move d
2259,24465363.0,Ansolo,24465363.0,301873.0,Ansolo,K8vZ917KA0V,Ansolo,ansolo
2260,17137225.0,Maggie Rogers,17137225.0,392528.0,Maggie Rogers,K8vZ9174027,Maggie Rogers,maggie rogers
2261,141186922.0,Lauv,141186922.0,444193.0,Lauv,K8vZ917f0A0,Lauv,lauv
2262,2397370.0,Bebe Rexha,2397370.0,294059.0,Bebe Rexha,K8vZ9173lT7,Bebe Rexha,bebe rexha
2263,39346322.0,Heroic.,39346322.0,479523.0,The Heroic Enthusiasts,K8vZ917Cr2V,Something Heroic,heroic.
2264,122637617.0,More Than Records,122637617.0,40671.0,More Than A Thousand,K8vZ91749N0,More Than Me,more than 
2265,8899.0,Adrian Lux,8899.0,22858.0,Adrian lux,K8vZ9172Sd7,Adrian Lux,adrian lux
2266,113188037.0,Daily Loud Sounds,113188037.0,,,,,daily loud sounds
2267,55123431.0,Lucas Coly,55123431.0,694645.0,Lucas Coly,,,lucas coly
2268,131652361.0,DDG,131652361.0,673586.0,DDG,K8vZ917pMlV,DDG,ddg
2269,317.0,compost,317.0,172611.0,Captain Compost,,,compost
2270,15703471.0,Tiny Engines,15703471.0,,,,,tiny engines
2271,2133178.0,CASPAofficial,2133178.0,90950.0,Caspar Babypants,K8vZ91749r7,Caspa,caspa
2272,17643044.0,HAYDEN JAMES,17643044.0,286835.0,Hayden James,K8vZ9173lv0,Hayden James,hayden james
2273,247955.0,Gammer,247955.0,100086.0,Gammer,K8vZ917owEf,Gammer,gammer
2274,519839.0,Si (Vandal) Kaotik,519839.0,,,,,si (vandal) kaotik
2275,130015497.0,Envision Recordings,130015497.0,,,,,envision recordings
2276,40696840.0,Boehm,40696840.0,333740.0,Boehm,,,boehm
2277,33502754.0,Electro Posé,33502754.0,,,,,electro posé
2278,9774.0,Reso,9774.0,5819.0,NextEra Energy Resources 250,K8vZ9178MDV,Reso,reso
2279,103079438.0,TheJuicyJ,103079438.0,,,,,thejuicyj
2280,8846741.0,taptone,8846741.0,533890.0,Taptone,,,taptone
2281,2843659.0,AFK,2843659.0,673172.0,AFK X Svdden Death,K8vZ917u6x7,Afk,afk
2282,82486807.0,NO1 | NOAH,82486807.0,,,,,no1 | noah
2283,1080894.0,Evil Needle,1080894.0,178113.0,Evil Needle,,,evil needle
2284,295280.0,The Funk Hunters,295280.0,36163.0,The Funk Hunters,K8vZ917GMwV,The Funk Hunters,the funk hunters
2285,182134.0,OFF Recordings,182134.0,,,,,off recordings
2286,115929066.0,nessly,115929066.0,632222.0,Nessly,K8vZ917fSx0,Nessly,nessly
2287,19674.0,jaswan,19674.0,,,,,jaswan
2288,113396799.0,EDC Orlando 2018,113396799.0,,,,,edc orlando 2018
2289,109859243.0,Azureon Select,109859243.0,,,,,azureon select
2290,4505721.0,Press & Play,4505721.0,692709.0,Press Play - An R&B Only Experience,K8vZ917pxo7,Just Press Play,press & play
2291,76527133.0,PLS&TY,76527133.0,498690.0,PLS&TY,K8vZ917pS10,PLS&TY,pls&ty
2292,245184.0,IbogaRecords,245184.0,,,K8vZ917KQh0,Iboga Festival,iboga
2293,27144516.0,SAYMYNAME,27144516.0,494451.0,SayMyName,K8vZ9174XuV,Saymyname,saymyname
2294,141986896.0,whereisalex,141986896.0,661401.0,Whereisalex,,,whereisalex
2295,203675129.0,YBN Cordae,203675129.0,688600.0,YBN Cordae,K8vZ9179fTV,YBN Cordae,ybn cordae
2296,28216643.0,Goshfather & Jinco,28216643.0,263151.0,Goshfather & Jinco,K8vZ917oWJ7,Goshfather & Jinco,goshfather & jinco
2297,1058354.0,Nickelback,1058354.0,1342.0,Nickelback,K8vZ9171EXf,Nickelback,nickelback
2298,30245672.0,Jess Glynne,30245672.0,283115.0,Jess Glynne,K8vZ9173p6V,Jess Glynne,jess glynne
2299,928727.0,Lloyd Banks,928727.0,4710.0,Lloyd Banks,K8vZ9175Iz0,Lloyd Banks,lloyd banks
2300,33291302.0,HalfyHourSBN,33291302.0,,,,,halfyhoursbn
2301,1948213.0,Playback Media,1948213.0,,,,,playback media
2302,384637.0,Marco Bailey,384637.0,22645.0,Marco Bailey,,,marco bailey
2303,4870.0,!K7 Records,4870.0,646084.0,iHeartRadio ALTer Ego,K8vZ9172IbV,K7,!k7 
2304,2397552.0,The Naked And Famous,2397552.0,8034.0,The Naked and Famous,K8vZ917GXmV,The Naked and Famous,the naked and famous
2305,188836.0,Fabian Mazur,188836.0,,,,,fabian mazur
2306,94893.0,Congorock,94893.0,17948.0,Congorock,K8vZ917uFv7,Congorock,congorock
2307,29313471.0,Prince Fox,29313471.0,301340.0,Prince Fox,K8vZ917f8Y0,Prince Fox,prince fox
2308,12640729.0,OZORA Festival,12640729.0,,,,,ozora festival
2309,572141.0,Bat For Lashes,572141.0,263.0,Bat For Lashes,K8vZ9175Tyf,Bat for Lashes,bat for lashes
2310,46277462.0,K.A.A.N.,46277462.0,285826.0,Chick-fil-A Kickoff Classic,,,k.a.a.n.
2311,309573.0,Jakarta Records,309573.0,16631.0,Cesar Millan - The Dog Whisperer,,,jakarta 
2312,66379717.0,atlas,66379717.0,132067.0,Bells Atlas,K8vZ9173pKV,Dem Atlas,atlas
2313,91742964.0,ICYTWAT,91742964.0,,,,,icytwat
2314,9263417.0,trndmsk,9263417.0,,,,,trndmsk
2315,25972768.0,Trap Music Now.,25972768.0,,,,,trap  now.
2316,25142670.0,Soundspace,25142670.0,,,,,soundspace
2317,419876.0,BLEEP BLOOP,419876.0,160747.0,Bleep Bloop,K8vZ9173Ml0,Bleep Bloop,bleep bloop
2318,1750807.0,STS9,1750807.0,1663.0,STS9,K8vZ9171iif,STS9,sts9
2319,3011670.0,Dat Way,3011670.0,,,,,dat way
2320,33226.0,Critical Music,33226.0,651265.0,Critical Music Showcase,K8vZ917fHzf,Critical Bill,critical 
2321,11328513.0,Exalted One,11328513.0,,,,,exalted one
2322,148161100.0,Night Bass,148161100.0,287274.0,Night Bass,K8vZ9174vqf,SUMMER BASS NIGHT,night bass
2323,3818979.0,Mazde,3818979.0,394684.0,Mazdem,,,mazde
2324,4514175.0,felly,4514175.0,382576.0,Felly,K8vZ917f9G7,Felly,felly
2325,1013252.0,Late Nite Tuff Guy,1013252.0,184361.0,Late Nite Tuff Guy,K8vZ917o--V,Late Nite Tuff Guy,late nite tuff guy
2326,23488238.0,Premier League,23488238.0,62827.0,Premier League Darts,K8vZ917GCM7,Premier League Darts,premier league
2327,119849.0,Fake Blood,119849.0,22575.0,Fake Blood,K8vZ9174_P0,Fake Blood,fake blood
2328,8588.0,ben sims,8588.0,32864.0,Ben Sims,K8vZ9172qu7,Ben Sims,ben sims
2329,42669.0,Adam Port,42669.0,28023.0,Adam Port,,,adam port
2330,56069064.0,Justin Caruso,56069064.0,592720.0,Justin Caruso,K8vZ9174NJV,Justin Caruso,justin caruso
2331,1115062.0,wuki,1115062.0,264206.0,WUKI,K8vZ91736-f,Wuki,wuki
2332,31671835.0,Rafflecast,31671835.0,,,,,rafflecast
2333,3924971.0,Erick the Architect,3924971.0,,,,,erick the architect
2334,1621810.0,Mentol,1621810.0,,,,,mentol
2335,3803302.0,Josh Butler.,3803302.0,342731.0,Josh Butler,K8vZ917oRtV,Josh Butler,josh butler.
2336,19978990.0,Kerri Chandler,19978990.0,27876.0,Kerri Chandler,K8vZ91729h7,Kerri Chandler,kerri chandler
2337,1364882.0,TheFloozies,1364882.0,,,K8vZ917GX1f,The Floozies,thefloozies
2338,108959542.0,Pi'erre Bourne,108959542.0,,,K8vZ917p7df,Pierre Bourne,pi'erre bourne
2339,35256.0,Marc Houle,35256.0,43886.0,Marc Houle,K8vZ91734I7,Marc Houle,marc houle
2340,6079739.0,Speaker of the House,6079739.0,339240.0,Speaker of the House,K8vZ9174CaV,Speaker of the House,speaker of the house
2341,2059180.0,DeepMixNation,2059180.0,,,,,deepmixnation
2342,202258892.0,Explicit Network,202258892.0,,,,,explicit network
2343,2273612.0,Brock Berrigan,2273612.0,,,,,brock berrigan
2344,144868900.0,ChilledCow,144868900.0,,,,,chilledcow
2345,2993269.0,CAUSE & AFFECT,2993269.0,335784.0,Cause & Affect,,,cause & affect
2346,18184915.0,FRIDA SUNDEMO,18184915.0,111307.0,Frida Sundemo,K8vZ917pn8f,Frida Sundemo,frida sundemo
2347,157909903.0,Ouroboros Records,157909903.0,126871.0,Ouroboros,,,ouroboros 
2348,109447512.0,3000 BASS,109447512.0,,,,,3000 bass
2349,31816.0,Earthling (Zero1 Music),31816.0,,,,,earthling (zero1 )
2350,8196846.0,LetsBeFriends ☠,8196846.0,,,,,letsbefriends ☠
2351,1462784.0,CircusCompany,1462784.0,,,,,circuscompany
2352,7748430.0,Rogue,7748430.0,515490.0,Rogue Satellites,Z7r9jZa5Sr,Rogue Valley Chorale,rogue
2353,762863.0,Mr FijiWiji,762863.0,164004.0,Mr FijiWiji,,,mr fijiwiji
2354,4885949.0,Vitalic Official,4885949.0,636117.0,Vitalic Live,K8vZ9175Xd7,Vitalic,vitalic 
2355,118582983.0,We Are The Future,118582983.0,607683.0,We Are The Future,Z7r9jZa1ZY,We Are The Future,we are the future
2356,531902.0,Wick-it the Instigator,531902.0,18442.0,Wick-It The Instigator,K8vZ917uCKf,Wick-It the Instigator,wick-it the instigator
2357,36797.0,Featurecast,36797.0,93245.0,Featurecast,K8vZ917CB40,Featurecast,featurecast
2358,189.0,Mark Pritchard,189.0,23932.0,Mark Pritchard,,,mark pritchard
2359,282142455.0,WARHOL.SS,282142455.0,14028.0,SS Lazio,K8vZ917pp6f,Warhol.SS,warhol.ss
2360,2791552.0,Syd,2791552.0,372167.0,Sydney Kings,K8vZ9178nYV,Syd,syd
2361,1117592.0,chineseman,1117592.0,,,K8vZ9178ey0,Chinese Man,chineseman
2362,1854157.0,Sacred Bones Records,1854157.0,619747.0,Sacred Bones 10th Anniversary Showcase,,,sacred bones 
2363,29135183.0,Guardian Music & Culture,29135183.0,,,,,guardian  & culture
2364,198478295.0,970,198478295.0,12020.0,La Oreja de Van Gogh,,,970
2365,807084.0,KIM ANN FOXMAN,807084.0,62549.0,Kim Ann Foxman,K8vZ9172j30,Kim Ann Foxman,kim ann foxman
2366,1044119.0,DJ Isaac,1044119.0,22696.0,DJ Isaac,K8vZ9173T67,DJ Isaac,dj isaac
2367,263281.0,Daniel Bortz,263281.0,44087.0,Daniel Bortz,K8vZ917ohs0,Daniel Bortz,daniel bortz
2368,6734475.0,DJ SMOKEY 666,6734475.0,,,,,dj smokey 666
2369,5021318.0,Milk & Sugar Recordings,5021318.0,,,,,milk & sugar recordings
2370,14857340.0,Xavier Omär (@XvrOmar),14857340.0,,,,,xavier omär (@xvromar)
2371,87867.0,Bare Noize,87867.0,37412.0,Bare Noize,K8vZ9172WLV,Bare Noize,bare noize
2372,3500891.0,Hiatus Kaiyote,3500891.0,72919.0,Hiatus Kaiyote,K8vZ9178TU0,Hiatus Kaiyote,hiatus kaiyote
2373,1530383.0,Hard Rock Sofa,1530383.0,308617.0,Brite Nites FT Hard Rock Sofa,K8vZ9172Ou0,Hard Rock Sofa,hard rock sofa
