id,Name,numFollowers 12/25/2018,scID,numFollowers 1/5/2019
4409909.0,AugustAlsina,1040821.0,4409909.0,1041155
20518104.0,Snoop Lion,477415.0,20518104.0,477391
903649.0,Snoop Dogg,908498.0,903649.0,909455
19697240.0,YMCMB-Official,8526118.0,19697240.0,8525664
1803989.0,VP RECORDS,2773945.0,1803989.0,2773875
55041348.0,Wiz Khalifa,1044617.0,55041348.0,1046948
23695960.0,Juicy J,1154195.0,23695960.0,1154483
42994431.0,Metro Boomin,571013.0,42994431.0,573066
3274725.0,The Weeknd,5992066.0,3274725.0,5994536
4152527.0,DVBBS,435373.0,4152527.0,435461
1689397.0,Nick Murphy (Chet Faker),429385.0,1689397.0,429589
67962887.0,Rich The Kid,416596.0,67962887.0,418903
50857695.0,The Jet Stream podcast,414192.0,50857695.0,414137
922413.0,GETTER,414056.0,922413.0,414529
12891691.0,PURPP (smokepurpp),548607.0,12891691.0,550062
13280596.0,Pouya .,460191.0,13280596.0,461761
10869463.0,Lana Del Rey,7924848.0,10869463.0,7925795
60663.0,Borgore,3853803.0,60663.0,3853659
10494998.0,LIL UZI VERT,1847057.0,10494998.0,1855115
72181005.0,Kodak Black,1139235.0,72181005.0,1147408
67377000.0,SKI MASK THE SLUMP GOD,881778.0,67377000.0,893151
173834487.0,Lil Pump,1251269.0,173834487.0,1257950
17364301.0,$UICIDEBOY$,866421.0,17364301.0,874629
218008901.0,LIL XAN,422250.0,218008901.0,424311
71223630.0,21 Savage,872092.0,71223630.0,883465
15904471.0,Deep House Amsterdam,410820.0,15904471.0,411763
284803.0,Ta-ku,407908.0,284803.0,408004
69257219.0,NGHTMRE,403318.0,69257219.0,403902
3436341.0,CASHMERE CAT,403304.0,3436341.0,403370
692623.0,Duke Dumont,393091.0,692623.0,393353
299918.0,Maceo Plex / Maetrik,392868.0,299918.0,393619
884726.0,What So Not,392579.0,884726.0,392805
40351414.0,Buygore,562923.0,40351414.0,563073
5717310.0,Yellow Claw,608341.0,5717310.0,608906
112753722.0,The Drunken Coconut,394083.0,112753722.0,398745
1570159.0,LykkeLi,391415.0,1570159.0,391426
80395241.0,ZHU,390927.0,80395241.0,391467
329369.0,SKREAMIZM,389337.0,329369.0,389341
4100728.0,Beastie Boys,388099.0,4100728.0,388213
1495169.0,BLASTERJAXX,387298.0,1495169.0,387342
724640.0,Revealed Recordings,448995.0,724640.0,449180
296190.0,HARDWELL,1889329.0,296190.0,1889912
2158218.0,Little Dragon,380969.0,2158218.0,381022
14801.0,BRO SAFARI,380209.0,14801.0,380371
26057743.0,Trap City,652162.0,26057743.0,652711
4791237.0,DENZELCURRYPH,375336.0,4791237.0,377435
12881211.0,Nicolás Jaar,374789.0,12881211.0,375194
87105617.0,Billie Eilish,373743.0,87105617.0,390916
25036442.0,OFWGKTA Official,1134957.0,25036442.0,1135176
34738457.0,Ty Dolla $ign,370262.0,34738457.0,370605
3721694.0,Ed Banger records,370126.0,3721694.0,370189
1520490.0,DFA Records,4976292.0,1520490.0,4975932
36190423.0,Phoenix,797546.0,36190423.0,797526
97151295.0,FT Big Read,361771.0,97151295.0,361759
78276678.0,Wonderlust,360653.0,78276678.0,360647
110021.0,GRiZ,358650.0,110021.0,359114
79481.0,Star Slinger,358574.0,79481.0,358544
22259306.0,Deep Sounds,357180.0,22259306.0,357152
537144.0,Caribou.,350301.0,537144.0,350338
4757531.0,Pretty Lights,348507.0,4757531.0,348673
840950.0,RichieHawtin,358827.0,840950.0,359535
7352216.0,VICE,347498.0,7352216.0,347485
17586135.0,KSHMR,347371.0,17586135.0,347916
64028757.0,Swell Radio,345803.0,64028757.0,345775
17473905.0,A Way with Words,718104.0,17473905.0,718047
44683272.0,Shane And Friends,613852.0,44683272.0,614627
54230392.0,The Cracked Podcast,586408.0,54230392.0,586411
16571192.0,Fast Company Podcasts,548667.0,16571192.0,548555
17699469.0,Everything Sounds,478225.0,17699469.0,478204
16563806.0,BackStory,805488.0,16563806.0,805423
9491920.0,Radio Ambulante,636140.0,9491920.0,636084
22214123.0,WorkingNow,587591.0,22214123.0,587555
7549311.0,The Economist,833046.0,7549311.0,833005
44840116.0,Guggenheim Museum,744877.0,44840116.0,744835
29734197.0,National Gallery of Art,712199.0,29734197.0,712128
73637897.0,HarperAudio Presents,676477.0,73637897.0,676451
